bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publisher,years_since_publication
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.57,0439785960,9780439785969,eng,652,2095690,27591,Scholastic Inc.,17.0
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling,4.49,0439358078,9780439358071,eng,870,2153167,29221,Scholastic Inc.,19.0
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,0439554896,9780439554893,eng,352,6333,244,Scholastic,20.0
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.56,043965548X,9780439655484,eng,435,2339585,36325,Scholastic Inc.,19.0
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling,4.78,0439682584,9780439682589,eng,2690,41428,164,Scholastic,19.0
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,0976540606,9780976540601,en-US,152,19,1,Nimble Books,18.0
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,9780439827607,eng,3342,28242,808,Scholastic,18.0
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,9780517226957,eng,815,3628,254,Gramercy Books,18.0
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0345453743,9780345453747,eng,815,249558,4080,Del Rey Books,21.0
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,eng,215,4930,460,Crown,19.0
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,0739322206,9780739322208,eng,6,1266,253,Random House Audio,18.0
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517149257,9780517149256,eng,815,2877,195,Wings Books,27.0
21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184,eng,544,248558,9396,Broadway Books,19.0
22,Bill Bryson's African Diary,Bill Bryson,3.44,0767915062,9780767915069,eng,55,7270,499,Broadway Books,21.0
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,0767910435,9780767910439,eng,256,2088,131,Broadway Books,19.0
24,In a Sunburned Country,Bill Bryson,4.07,0767903862,9780767903868,eng,335,72451,4245,Broadway Books,22.0
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9780767903820,eng,304,49240,2211,Broadway Books,23.0
